company_name,std_company_name
Horsa Group,Horsa Group
hpe,HPE
Iberia Express,Iberia Express
IBERIAN,IBERIAN
IBM,IBM
iceg aes machine learning center of excellence at accenture,Accenture
i-data.tek,I-Data.tek
IE School of Human Sciences and Technology,IE School of Human Sciences and Technology
iGenius,iGenius
igenius ai,iGenius
igenius ict,iGenius
Il Sole 24 ORE Business School ed Eventi,Il Sole 24 ORE Business School ed Eventi
Independent,Independent
indigo ai,Indigo
industrial solutions m&b gmbh,Industrial Solutions m&b GMBH
Informatica,Informatica
Infostrada,Infostrada
ingenium technology,Ingenium Technology
innocenzo gasparini institute for economic research,Innocenzo Gasparini institute for economic research
innovizo,Innovizo
Integris S.p.A,Integris S.p.A
Intesa Sanpaolo,Intesa Sanpaolo
IPG Mediabrands,IPG Mediabrands
Iqvia,Iqvia
Istituto mario negri,Istituto Mario Negri
italian national research council,italian national research council
Jaguar Land Rover,Jaguar Land Rover
JAKALA Spa,JAKALA Spa
Jobrapido,Jobrapido
Juice Reply,Juice Reply
kaggle,Kaggle
Kalypso,Kalypso
Kering,Kering
KING Company srl,KING Company srl
kiwi data science,Kiwi data science
KPI6,KPI6
KPMG,KPMG
Kpmg Advisory,KPMG
kpmg italy,KPMG
kubris,Kubris
l2f,I2F
laife reply,Life reply
lanieri,Lanieri
lastminute.com group,lastminute.com
LATTANZIO KIBS,LATTANZIO KIBS
Leroy Merlin,Leroy Merlin
Like Reply,Like Reply
loop ai labs cognitive computing,Loop ai labs cognitive computing
lottomatica group,Lottomatica
lsesu machine learning society,Lsesu machine learning society
Lufthansa innovation hub gmbh,Lufthansa
Lutech,Lutech
luxottica,Luxottica
MABDA at,MABDA at
Machine Learning Reply,Machine Learning Reply
Magneti Marelli at Magneti Marelli,Magneti Marelli
Mailup,Mailup
ManpowerGroup,ManpowerGroup
maserati,Maserati
massachusetts institute of technology,MIT
mckinsey,McKinsey
McKinsey & Company,McKinsey
mdotm ltd,MDOTM
MEC,MEC
mechanica group,Mechanica group
Mediaset,Mediaset
mediobanca,Mediobanca
Metreta s.r.l.,Metreta
Micro Focus,Micro Focus
Micro Focus at Micro Focus,Micro Focus
Microsoft,Microsoft
microsoft at microsoft,Microsoft
microsoft china,Microsoft
Microsoft Italy,Microsoft
milano-bicocca university,Università degli Studi di Milano
MIP,MIP
MIP Politecnico di Milano,MIP
MIP Politecnico di Milano Graduate School of Business,MIP
mip politecnico di milano.,MIP
MIP-Politecnico Di Milano,MIP
mitobit,Mitobit
modis consulting,Modis
mogees ltd,Moogees
Moneymour,Moneymour
monocasual laboratories,Monocasual laboratories
Moviri,Moviri
MSC Mediterranean Shipping Company,MSC Mediterranean Shipping Company
musimap s.a.,Musimap s.a.
Namu Srl,Namu Srl
Nextbit,Nextbit
